id;login;dm_san_pham_id;anh_sp;anh_sp_content_type;so_luong;gia;hoa_don_id
1;Games;95134;../fake-data/blob/hipster.png;image/png;68249;47942;76689
2;Factors;37284;../fake-data/blob/hipster.png;image/png;38531;21060;98927
3;maroon;66253;../fake-data/blob/hipster.png;image/png;63475;96519;36795
4;HTTP Extended;53415;../fake-data/blob/hipster.png;image/png;16610;20893;12823
5;Buckinghamshire Handmade;44791;../fake-data/blob/hipster.png;image/png;82734;78573;5433
6;Intranet Gloves Diverse;12291;../fake-data/blob/hipster.png;image/png;17658;10821;82142
7;Fully-configurable Tactics;36840;../fake-data/blob/hipster.png;image/png;92887;59224;2443
8;redundant solution;65703;../fake-data/blob/hipster.png;image/png;89606;47422;32230
9;Naira;83661;../fake-data/blob/hipster.png;image/png;98316;38418;18286
10;Soft 5th generation Lead;13060;../fake-data/blob/hipster.png;image/png;88136;67614;30621
