id;hang_san_xuat;ten_dien_thoai;gia_dien_thoai;ngay_nhap;ngay_xuat;da_ban;mo_ta_san_pham;ghi_chu;hinh_san_pham;hinh_san_pham_content_type
1;value-added withdrawal;Shoes;synthesize override;Mall Licensed Refined;Internal Secured transmit;Orchestrator Pike Flat;Handmade Outdoors;payment invoice;../fake-data/blob/hipster.png;image/png
2;modular;Solutions;Applications architecture;Automotive;application;Mouse FTP Texas;Roads deposit;withdrawal Chair;../fake-data/blob/hipster.png;image/png
3;transmitting;Executive Automated Health;Stand-alone Investment Account;Syrian Pound parsing;Angola Russian Federation Alley;navigate;purple;Costa Rica;../fake-data/blob/hipster.png;image/png
4;Buckinghamshire Oklahoma Concrete;lime Handcrafted Chicken;hierarchy Awesome Automotive;web services driver;Intelligent Frozen Chair Algeria innovative;non-volatile Kids;moderator Health;Auto Loan Account Communications encoding;../fake-data/blob/hipster.png;image/png
5;Cotton array Representative;matrix groupware;methodologies application Delaware;Auto Loan Account Bedfordshire Plain;frame New Jersey;Checking Account Developer Licensed;Baby Orchestrator;Principal;../fake-data/blob/hipster.png;image/png
6;function;Buckinghamshire real-time;payment;withdrawal;task-force;dynamic;Wooden Tuna;Garden structure;../fake-data/blob/hipster.png;image/png
7;Ergonomic;Cambridgeshire efficient Investor;Mali Metal Awesome;protocol;orange e-commerce didactic;Central;Investment Account Fantastic;reciprocal cross-platform auxiliary;../fake-data/blob/hipster.png;image/png
8;generating deposit withdrawal;Robust;Alabama New Hampshire Practical;Bedfordshire;calculating De-engineered Applications;Rustic Wooden Chair Internal;Practical Steel Gloves Forward;Cambridgeshire;../fake-data/blob/hipster.png;image/png
9;Practical back-end;infomediaries;bypassing teal;web-readiness Bedfordshire;secondary content Games;infrastructures Bacon Future;ADP deposit;Berkshire Plaza Supervisor;../fake-data/blob/hipster.png;image/png
10;capacitor;cross-media;Future Rustic;Mouse;Shoes Licensed;generating Computer technologies;engineer;Pizza Buckinghamshire;../fake-data/blob/hipster.png;image/png
