id;loai_san_pham;thuong_hieu;ten;gia;mo_ta;anh;anh_content_type;so_da_ban;trang_thai
1;Argentine Peso monetize;Licensed Fresh Salad Principal;Bike content;Face to face;virtual EXE;../fake-data/blob/hipster.png;image/png;66808;Agent Iowa South Carolina
2;calculate;Steel;streamline initiatives;Tasty;copying;../fake-data/blob/hipster.png;image/png;87286;Hong Kong Dollar Palau
3;Centralized;Ergonomic;teal grow;invoice;Money Market Account;../fake-data/blob/hipster.png;image/png;69212;B2C redundant
4;Wooden web services envisioneer;Buckinghamshire copying olive;Handcrafted deliver;Bedfordshire;deliverables client-server;../fake-data/blob/hipster.png;image/png;7140;Awesome Plastic bypassing
5;strategic;Maine;Operative;Rustic Granite Table Belarussian Ruble parse;Solomon Islands Dollar Massachusetts;../fake-data/blob/hipster.png;image/png;69577;Regional
6;Steel;Fantastic Granite Keyboard Legacy;executive programming;FTP Granite Home Loan Account;Cheese;../fake-data/blob/hipster.png;image/png;72296;Pa'anga Personal Loan Account
7;neural Developer Unions;Bedfordshire Berkshire architect;Plastic;Track Road;quantify online;../fake-data/blob/hipster.png;image/png;11986;Pound Sterling synergistic
8;Strategist hacking;compressing RSS;Refined Metal Tuna Toys;teal;Associate payment functionalities;../fake-data/blob/hipster.png;image/png;16429;Networked Credit Card Account
9;Fantastic Soft Shoes Iceland Iowa;e-commerce Re-engineered strategy;wireless Health;interactive Nepalese Rupee Developer;Tasty;../fake-data/blob/hipster.png;image/png;72353;clear-thinking wireless SQL
10;Cambridgeshire Cheese Turnpike;copying monitor;Borders;Interactions Architect;New Hampshire;../fake-data/blob/hipster.png;image/png;84226;magnetic Borders
