id;hang_san_xuat;ten_lap_top;gia_lap_top;ngay_nhap;ngay_xuat;mo_ta_san_pham;ghi_chu
1;deposit white PNG;extend Forward withdrawal;Checking Account drive;Arkansas Jewelery;plug-and-play Personal Loan Account Ergonomic Steel Keyboard;Car Incredible Steel Towels needs-based;Utah
2;Berkshire;front-end;sensor bandwidth-monitored navigate;intranet Small Metal Soap redundant;interface Gloves New York;azure;Fresh
3;hub knowledge user;time-frame Officer functionalities;yellow Electronics Concrete;Soap Cedi feed;tan Electronics;Reverse-engineered Architect;Ergonomic Frozen Towels Open-architected Gorgeous Wooden Towels
4;Borders deposit violet;enable;withdrawal;connecting Tasty;bus Electronics;Personal Loan Account Group;Consultant parallelism 1080p
5;Moldova Oregon;Savings Account productivity Corners;national;Rustic Concrete Mouse PNG human-resource;Berkshire;white Pre-emptive Awesome;Engineer
6;Home Loan Account Open-source;withdrawal cross-platform;Keyboard New Jersey;schemas;Qatari Rial back-end Small Fresh Computer;Frozen Arizona Missouri;Cotton
7;engage Customer-focused partnerships;Metrics olive;partnerships;Soft Incredible Frozen Ball Avon;executive sticky local;Bahrain Cheese User-friendly;Zambian Kwacha Director Rustic Frozen Keyboard
8;digital Corporate deposit;Re-engineered;1080p red;back-end;Landing Metal;RSS solutions;Investment Account Incredible
9;Congolese Franc AI deploy;override Chair Metrics;South Carolina Awesome;Factors;payment Gorgeous Internal;Manager;IB Soft Sleek Steel Pants
10;backing up Soap;Wisconsin compress Ranch;repurpose Generic Concrete Shirt bluetooth;Lead withdrawal;Dynamic channels;Savings Account;orange
