id;hang_san_xuat;ten;gia;ngay_nhap;ngay_xuat;mo_ta;ghi_chu
1;Borders;Regional;AGP Savings Account;Tasty Dynamic Applications;yellow;Bacon;rich Group overriding
2;circuit Guatemala;Buckinghamshire;moratorium Generic Concrete Fish Norwegian Krone;Bacon Shoes Gloves;quantify;connecting Generic Frozen Towels Borders;interfaces deposit Planner
3;Kentucky;Stand-alone Fresh;card Associate;Compatible;Norfolk Island;architectures;infrastructures metrics
4;Mouse Extended;GB;Tuna;didactic Web;Multi-tiered;Industrial;access International District
5;Mauritius Rupee Communications Baby;transmit;Generic Cotton Fish infrastructures;Paradigm Course Human;Director Pizza Georgia;discrete;orchestration Buckinghamshire SAS
6;Data;mobile connecting magenta;Multi-tiered neural;Buckinghamshire salmon;Borders reboot;initiatives compress feed;strategic
7;synergize Oman;high-level Soft strategize;Generic;whiteboard Way;Frozen Officer;RSS deposit models;Kentucky
8;Incredible;customer loyalty Facilitator;Islands multi-byte;technologies EXE;Division;Extension;Integration
9;yellow Brook;bandwidth Wooden;withdrawal didactic Tuna;backing up Kenyan Shilling;Intuitive Shoes;index Graphical User Interface invoice;Shoes cyan
10;payment Multi-layered Realigned;initiatives Personal Loan Account Checking Account;Cambridgeshire payment pixel;Borders cutting-edge;Hat Brand calculate;service-desk Mexico Industrial;Flat global
