id;hang_san_xuat;ten_tablet;gia_tablet;ngay_nhap;ngay_xuat;mo_ta_san_pham;ghi_chu
1;Hat cross-platform;Saint Lucia Trinidad and Tobago Dollar;Avon;IB;back-end;Future-proofed calculate;productivity Central
2;International sexy;Practical Plastic Pizza networks Handcrafted;Lodge Checking Account;District white;Personal Loan Account;multi-byte application;Money Market Account
3;open-source backing up metrics;indigo Plain Upgradable;New Caledonia Pennsylvania Persistent;Generic Home Loan Account;invoice dot-com;UAE Dirham;Sudanese Pound
4;Metal transmitter District;revolutionize Tasty Rubber Towels teal;New Hampshire connecting;recontextualize;Inlet uniform;turn-key;Bypass communities
5;Colorado deposit;Bedfordshire monitor;Fresh payment;SDD IB Alabama;Ergonomic Direct Director;architecture Avon;Investment Account Configuration Forward
6;Buckinghamshire sexy cutting-edge;THX;Handmade;Music Savings Account;Unbranded Cotton Tuna Investment Account payment;Auto Loan Account THX;Awesome
7;Branding purple;Senior navigating Rubber;Marketing e-markets program;digital;District Coordinator;multi-tasking Circles;innovative Manager
8;Managed;Roads Cotton;envisioneer;protocol Generic Frozen Soap;Personal Loan Account solid state Belgium;Orchestrator;Books B2B systems
9;Hawaii sensor;functionalities;Incredible Concrete Car Engineer platforms;Automotive Distributed;Bermudian Dollar (customarily known as Bermuda Dollar);indigo multi-byte Ohio;ROI Bedfordshire Savings Account
10;supply-chains;recontextualize;card Ergonomic;Paradigm;Architect out-of-the-box driver;Licensed Soft enterprise;e-services alarm
