id;hang_san_xuat;ten;gia;ngay_nhap;ngay_xuat;mo_ta_san_pham;ghi_chu
1;implement;Fantastic Plastic Keyboard;transmitting Keys Sleek Granite Shoes;engineer Ball;Sweden system Liaison;model bi-directional;Money Market Account
2;Analyst efficient;withdrawal back up 5th generation;grey Managed;Steel;web services wireless;SSL Assimilated Division;Tunnel bus Afghanistan
3;program synthesizing;orchid Fantastic Buckinghamshire;Colombian Peso Unidad de Valor Real;Bedfordshire;interactive;Berkshire morph Colorado;PNG Chicken Bedfordshire
4;copying override;data-warehouse compressing;Orchestrator Louisiana Networked;Steel;hacking;Research Awesome Granite Car;pixel Stream Dynamic
5;Quality;payment matrix;Buckinghamshire;SQL extranet Frozen;program;salmon programming Indiana;Bedfordshire scalable
6;mint green exploit Human;Coordinator;programming;holistic Organized;productize;Forward program Plastic;Fantastic frictionless
7;Fresh;homogeneous programming Phased;system;Berkshire matrix;Graphic Interface Balanced Chips;user-facing monetize;connecting functionalities
8;mobile;Manat Sausages;heuristic Azerbaijanian Manat ADP;Beauty;Compatible Clothing cyan;Small Plastic Bacon Producer;Markets Creative Cambridgeshire
9;Cotton Metrics;card Producer International;Fully-configurable Shoal matrices;panel;Secured Unbranded deposit;Personal Loan Account Lead;pink
10;web-readiness;even-keeled Global National;Global Louisiana;Checking Account value-added;Kip Indiana Frozen;Table Lodge Adaptive;Steel SMTP
